freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.378e+00,1.887e+02,3.626e+01,2.313e+02
1.5,1.722e+01,1.127e+02,2.906e+01,1.589e+02
3.1,1.986e+01,1.855e+01,1.089e+01,4.930e+01
4.6,2.094e+01,2.907e+02,1.118e+01,3.228e+02
6.1,2.051e+01,1.127e+03,1.139e+01,1.159e+03
7.7,2.044e+01,1.827e+03,1.240e+01,1.860e+03
9.2,1.877e+01,2.676e+03,1.556e+01,2.710e+03
10.7,1.908e+01,3.894e+03,1.708e+01,3.930e+03
12.3,1.972e+01,5.910e+03,1.873e+01,5.949e+03
13.8,1.953e+01,8.525e+03,2.132e+01,8.566e+03
15.3,1.977e+01,1.123e+04,2.026e+01,1.127e+04
16.9,2.025e+01,1.454e+04,2.839e+01,1.459e+04
18.4,2.602e+01,1.755e+04,3.405e+01,1.761e+04
19.9,2.617e+01,1.875e+04,3.579e+01,1.881e+04
21.5,2.576e+01,2.007e+04,4.674e+01,2.014e+04
23.0,2.857e+01,2.208e+04,7.956e+01,2.219e+04
24.5,2.907e+01,2.565e+04,1.309e+02,2.581e+04
26.1,2.853e+01,3.178e+04,2.098e+02,3.202e+04
27.6,3.799e+01,4.039e+04,3.436e+02,4.078e+04
29.1,6.064e+01,5.141e+04,6.045e+02,5.208e+04
30.7,8.526e+01,5.977e+04,9.444e+02,6.080e+04
32.2,1.293e+02,7.370e+04,1.757e+03,7.559e+04
33.7,4.127e+02,1.061e+05,4.347e+03,1.109e+05
35.3,9.849e+02,1.480e+05,9.325e+03,1.583e+05
36.8,1.603e+03,1.836e+05,1.406e+04,1.993e+05
38.3,2.453e+03,2.272e+05,2.114e+04,2.508e+05
39.9,3.594e+03,2.853e+05,3.653e+04,3.254e+05
41.4,4.382e+03,3.173e+05,5.475e+04,3.764e+05
42.9,4.867e+03,2.986e+05,6.891e+04,3.723e+05
44.4,4.698e+03,2.216e+05,6.449e+04,2.908e+05
46.0,4.406e+03,1.460e+05,4.773e+04,1.982e+05
47.5,4.444e+03,1.097e+05,3.610e+04,1.503e+05
49.0,3.994e+03,7.988e+04,2.834e+04,1.122e+05
50.6,2.991e+03,6.187e+04,2.928e+04,9.413e+04
52.1,1.969e+03,4.716e+04,3.174e+04,8.087e+04
53.6,1.306e+03,3.454e+04,3.190e+04,6.775e+04
55.2,8.620e+02,2.494e+04,3.133e+04,5.713e+04
56.7,6.013e+02,1.750e+04,2.928e+04,4.738e+04
58.2,5.281e+02,1.237e+04,2.646e+04,3.935e+04
59.8,5.891e+02,9.683e+03,2.347e+04,3.374e+04
61.3,7.921e+02,8.659e+03,2.157e+04,3.102e+04
62.8,1.373e+03,8.011e+03,2.058e+04,2.996e+04
64.4,2.297e+03,7.629e+03,2.067e+04,3.060e+04
65.9,3.150e+03,6.823e+03,2.149e+04,3.146e+04
67.4,3.675e+03,5.739e+03,2.124e+04,3.066e+04
69.0,3.392e+03,5.354e+03,1.998e+04,2.872e+04
70.5,2.469e+03,5.699e+03,1.813e+04,2.629e+04
72.0,1.725e+03,6.193e+03,1.609e+04,2.401e+04
73.6,1.263e+03,6.088e+03,1.450e+04,2.185e+04
