freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.986e+01,2.431e+02,1.682e+01,3.198e+02
1.5,6.884e+01,1.446e+02,3.201e+01,2.455e+02
3.0,4.339e+01,2.226e+01,3.198e+01,9.763e+01
4.5,5.022e+01,2.528e+02,3.407e+01,3.371e+02
6.0,5.416e+01,1.043e+03,3.357e+01,1.131e+03
7.5,6.298e+01,1.781e+03,3.550e+01,1.880e+03
9.0,6.020e+01,2.625e+03,3.348e+01,2.718e+03
10.5,4.592e+01,3.502e+03,3.571e+01,3.584e+03
12.0,4.257e+01,4.614e+03,3.808e+01,4.694e+03
13.5,5.302e+01,6.632e+03,4.398e+01,6.729e+03
15.0,6.540e+01,9.551e+03,4.628e+01,9.663e+03
16.5,6.090e+01,1.304e+04,5.446e+01,1.315e+04
18.0,7.156e+01,1.622e+04,6.465e+01,1.636e+04
19.6,7.822e+01,1.969e+04,7.226e+01,1.984e+04
21.1,6.566e+01,2.150e+04,8.186e+01,2.164e+04
22.6,7.788e+01,2.191e+04,9.270e+01,2.208e+04
24.1,8.327e+01,2.198e+04,1.117e+02,2.218e+04
25.6,1.018e+02,2.491e+04,1.518e+02,2.516e+04
27.1,1.326e+02,3.060e+04,1.772e+02,3.091e+04
28.6,2.006e+02,3.798e+04,2.046e+02,3.838e+04
30.1,2.910e+02,4.423e+04,2.788e+02,4.480e+04
31.6,3.598e+02,5.005e+04,3.115e+02,5.072e+04
33.1,5.577e+02,6.170e+04,3.717e+02,6.263e+04
34.6,9.106e+02,7.916e+04,5.126e+02,8.058e+04
36.1,1.442e+03,1.035e+05,7.210e+02,1.056e+05
37.6,2.251e+03,1.380e+05,1.017e+03,1.413e+05
39.1,3.606e+03,1.881e+05,1.757e+03,1.934e+05
40.6,5.644e+03,2.627e+05,4.412e+03,2.727e+05
42.1,9.262e+03,3.605e+05,8.930e+03,3.787e+05
43.6,2.494e+04,5.453e+05,1.291e+04,5.832e+05
45.1,9.524e+04,8.396e+05,1.698e+04,9.519e+05
46.6,1.519e+05,8.070e+05,1.478e+04,9.737e+05
48.1,1.314e+05,4.924e+05,8.423e+03,6.322e+05
49.6,1.143e+05,3.067e+05,4.271e+03,4.252e+05
51.1,1.162e+05,2.478e+05,3.104e+03,3.671e+05
52.6,1.139e+05,2.057e+05,3.523e+03,3.232e+05
54.1,1.078e+05,1.676e+05,4.413e+03,2.798e+05
55.6,9.857e+04,1.282e+05,5.680e+03,2.325e+05
57.1,8.386e+04,9.147e+04,9.947e+03,1.853e+05
58.7,6.929e+04,6.634e+04,2.036e+04,1.560e+05
60.2,6.200e+04,5.608e+04,3.606e+04,1.541e+05
61.7,6.252e+04,5.078e+04,4.282e+04,1.561e+05
63.2,5.957e+04,3.743e+04,4.165e+04,1.386e+05
64.7,4.822e+04,2.252e+04,3.753e+04,1.083e+05
66.2,3.766e+04,1.367e+04,3.056e+04,8.189e+04
67.7,2.967e+04,9.637e+03,2.492e+04,6.423e+04
69.2,2.428e+04,8.215e+03,1.999e+04,5.248e+04
70.7,2.081e+04,8.213e+03,1.613e+04,4.515e+04
72.2,1.778e+04,9.712e+03,1.181e+04,3.931e+04
73.7,1.589e+04,9.080e+03,7.874e+03,3.285e+04
75.2,1.432e+04,7.133e+03,5.939e+03,2.739e+04
76.7,1.375e+04,5.723e+03,5.086e+03,2.456e+04
78.2,1.387e+04,5.030e+03,5.009e+03,2.391e+04
79.7,1.480e+04,5.363e+03,5.358e+03,2.552e+04
81.2,1.669e+04,7.675e+03,6.053e+03,3.042e+04
82.7,1.896e+04,1.228e+04,5.799e+03,3.703e+04
84.2,2.072e+04,1.873e+04,4.501e+03,4.395e+04
85.7,2.119e+04,2.539e+04,3.902e+03,5.047e+04
87.2,2.043e+04,2.747e+04,4.044e+03,5.195e+04
88.7,2.168e+04,3.046e+04,2.437e+03,5.458e+04
90.2,2.795e+04,4.130e+04,3.229e+03,7.248e+04
91.7,3.377e+04,5.108e+04,5.402e+03,9.025e+04
93.2,3.097e+04,5.322e+04,4.406e+03,8.859e+04
94.7,3.053e+04,5.205e+04,3.011e+03,8.559e+04
96.3,3.169e+04,4.914e+04,1.890e+03,8.271e+04
97.8,3.155e+04,4.666e+04,2.065e+03,8.028e+04
99.3,3.021e+04,4.646e+04,3.310e+03,7.998e+04
100.8,2.766e+04,4.701e+04,4.276e+03,7.895e+04
102.3,2.627e+04,4.646e+04,6.525e+03,7.926e+04
103.8,2.491e+04,4.660e+04,9.936e+03,8.144e+04
105.3,2.335e+04,4.831e+04,1.201e+04,8.367e+04
106.8,2.013e+04,4.703e+04,1.195e+04,7.911e+04
108.3,1.695e+04,4.250e+04,9.880e+03,6.933e+04
109.8,1.255e+04,3.502e+04,7.390e+03,5.495e+04
111.3,7.938e+03,2.454e+04,5.199e+03,3.768e+04
112.8,5.531e+03,1.778e+04,3.793e+03,2.710e+04
114.3,6.109e+03,1.671e+04,2.707e+03,2.553e+04
115.8,1.223e+04,2.636e+04,2.302e+03,4.089e+04
117.3,2.326e+04,5.323e+04,2.639e+03,7.913e+04
118.8,3.409e+04,9.360e+04,4.745e+03,1.324e+05
120.3,3.767e+04,1.171e+05,6.212e+03,1.610e+05
121.8,3.524e+04,1.178e+05,6.212e+03,1.593e+05
123.3,3.043e+04,1.070e+05,7.229e+03,1.446e+05
124.8,2.486e+04,9.083e+04,7.413e+03,1.231e+05
126.3,1.990e+04,7.427e+04,6.781e+03,1.010e+05
127.8,1.645e+04,6.269e+04,5.890e+03,8.503e+04
129.3,1.417e+04,5.427e+04,5.941e+03,7.438e+04
130.8,1.301e+04,4.937e+04,7.626e+03,7.000e+04
132.3,9.753e+03,3.754e+04,7.122e+03,5.442e+04
133.9,2.667e+03,1.014e+04,3.981e+03,1.679e+04
135.4,5.587e+02,3.622e+03,1.643e+03,5.824e+03
136.9,7.648e+02,6.630e+03,1.891e+03,9.285e+03
138.4,5.142e+02,5.680e+03,2.794e+03,8.989e+03
139.9,2.250e+02,4.205e+03,3.221e+03,7.651e+03
141.4,2.978e+02,2.915e+03,3.744e+03,6.956e+03
142.9,3.306e+02,3.029e+03,3.366e+03,6.725e+03
144.4,2.674e+02,3.161e+03,2.652e+03,6.081e+03
145.9,2.529e+02,3.468e+03,2.206e+03,5.927e+03
147.4,1.903e+02,3.646e+03,1.623e+03,5.460e+03
148.9,1.797e+02,3.091e+03,1.370e+03,4.641e+03
150.4,1.936e+02,2.319e+03,1.348e+03,3.860e+03
151.9,2.066e+02,1.402e+03,1.467e+03,3.076e+03
153.4,2.339e+02,1.094e+03,1.567e+03,2.894e+03
154.9,2.918e+02,8.549e+02,1.556e+03,2.703e+03
156.4,3.367e+02,6.147e+02,1.705e+03,2.657e+03
157.9,3.480e+02,4.027e+02,1.753e+03,2.504e+03
159.4,3.634e+02,2.708e+02,1.798e+03,2.432e+03
160.9,4.099e+02,2.176e+02,2.062e+03,2.690e+03
162.4,4.647e+02,2.012e+02,2.310e+03,2.976e+03
163.9,5.463e+02,1.873e+02,2.674e+03,3.407e+03
165.4,6.106e+02,1.980e+02,3.039e+03,3.848e+03
166.9,6.867e+02,2.143e+02,3.379e+03,4.280e+03
168.4,6.563e+02,2.646e+02,3.234e+03,4.155e+03
169.9,6.283e+02,3.924e+02,2.988e+03,4.009e+03
171.4,5.554e+02,4.567e+02,2.735e+03,3.747e+03
173.0,4.828e+02,5.144e+02,2.643e+03,3.640e+03
174.5,4.987e+02,6.122e+02,2.612e+03,3.723e+03
176.0,5.011e+02,7.359e+02,2.571e+03,3.808e+03
177.5,4.883e+02,8.335e+02,2.393e+03,3.714e+03
179.0,4.860e+02,1.215e+03,2.574e+03,4.275e+03
180.5,4.022e+02,2.508e+03,3.357e+03,6.267e+03
182.0,3.567e+02,4.573e+03,3.770e+03,8.700e+03
183.5,2.969e+02,3.460e+03,2.996e+03,6.753e+03
185.0,4.742e+02,2.049e+03,2.325e+03,4.848e+03
186.5,5.016e+02,1.778e+03,1.875e+03,4.155e+03
188.0,4.433e+02,1.622e+03,2.369e+03,4.434e+03
189.5,7.830e+02,1.039e+03,3.547e+03,5.369e+03
191.0,9.463e+02,7.744e+02,4.529e+03,6.250e+03
192.5,8.346e+02,8.056e+02,4.223e+03,5.863e+03
194.0,8.165e+02,9.622e+02,4.285e+03,6.064e+03
195.5,8.376e+02,1.031e+03,4.325e+03,6.194e+03
197.0,8.070e+02,1.065e+03,4.356e+03,6.229e+03
198.5,7.620e+02,1.129e+03,4.196e+03,6.087e+03
