freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.905e+02,1.547e+01,5.182e+01,8.578e+02
1.5,4.684e+02,2.083e+01,1.293e+02,6.186e+02
3.1,3.944e+01,1.669e+01,1.457e+02,2.018e+02
4.6,3.105e+02,1.659e+01,1.274e+02,4.544e+02
6.1,1.120e+03,1.680e+01,1.495e+02,1.286e+03
7.7,1.832e+03,1.639e+01,1.548e+02,2.003e+03
9.2,2.650e+03,1.604e+01,1.462e+02,2.812e+03
10.7,3.688e+03,1.647e+01,1.381e+02,3.843e+03
12.3,5.058e+03,1.848e+01,1.456e+02,5.222e+03
13.8,6.651e+03,1.914e+01,1.632e+02,6.834e+03
15.3,7.796e+03,2.018e+01,1.625e+02,7.978e+03
16.9,8.367e+03,2.085e+01,1.470e+02,8.534e+03
18.4,9.970e+03,2.209e+01,1.279e+02,1.012e+04
19.9,1.254e+04,2.891e+01,1.418e+02,1.271e+04
21.5,1.530e+04,3.704e+01,1.527e+02,1.548e+04
23.0,1.835e+04,4.597e+01,1.655e+02,1.856e+04
24.5,2.226e+04,5.094e+01,1.493e+02,2.246e+04
26.1,2.540e+04,5.414e+01,1.312e+02,2.559e+04
27.6,2.611e+04,7.722e+01,1.748e+02,2.636e+04
29.1,3.116e+04,2.459e+02,2.024e+02,3.160e+04
30.7,3.874e+04,7.733e+02,2.887e+02,3.980e+04
32.2,4.711e+04,1.497e+03,5.674e+02,4.917e+04
33.7,5.618e+04,2.838e+03,1.364e+03,6.038e+04
35.3,6.640e+04,4.395e+03,2.507e+03,7.331e+04
36.8,7.926e+04,5.017e+03,3.017e+03,8.729e+04
38.3,9.315e+04,5.710e+03,3.715e+03,1.026e+05
39.9,1.076e+05,8.326e+03,6.214e+03,1.221e+05
41.4,1.208e+05,1.138e+04,1.054e+04,1.427e+05
42.9,1.381e+05,1.164e+04,1.318e+04,1.629e+05
44.5,1.702e+05,1.093e+04,1.458e+04,1.957e+05
46.0,2.156e+05,1.073e+04,1.591e+04,2.422e+05
47.6,2.764e+05,1.109e+04,1.801e+04,3.055e+05
49.1,3.648e+05,1.199e+04,2.248e+04,3.993e+05
50.6,5.013e+05,1.209e+04,2.834e+04,5.417e+05
52.2,7.158e+05,1.096e+04,3.519e+04,7.620e+05
53.7,1.090e+06,8.731e+03,4.345e+04,1.142e+06
55.2,1.808e+06,6.872e+03,5.615e+04,1.871e+06
56.8,3.219e+06,7.841e+03,7.710e+04,3.304e+06
58.3,5.099e+06,1.734e+04,9.272e+04,5.209e+06
59.8,5.886e+06,2.947e+04,8.895e+04,6.005e+06
61.4,4.965e+06,3.197e+04,7.084e+04,5.068e+06
62.9,3.682e+06,2.394e+04,5.923e+04,3.766e+06
64.4,2.564e+06,1.459e+04,4.961e+04,2.629e+06
66.0,1.680e+06,1.046e+04,3.882e+04,1.729e+06
67.5,1.158e+06,9.331e+03,3.261e+04,1.200e+06
69.0,8.197e+05,8.313e+03,2.715e+04,8.552e+05
70.6,6.046e+05,6.750e+03,2.332e+04,6.346e+05
72.1,4.637e+05,5.322e+03,2.120e+04,4.902e+05
73.6,3.728e+05,4.352e+03,2.025e+04,3.974e+05
75.2,3.137e+05,3.743e+03,2.036e+04,3.378e+05
76.7,2.690e+05,3.181e+03,2.024e+04,2.924e+05
78.2,2.308e+05,2.560e+03,2.014e+04,2.535e+05
