freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.348e+02,4.167e+01,8.876e+02,1.264e+03
1.5,1.902e+03,1.180e+02,5.898e+02,2.610e+03
3.0,2.497e+03,1.019e+02,1.592e+02,2.758e+03
4.5,2.674e+03,1.025e+02,3.802e+02,3.157e+03
6.0,2.178e+03,1.053e+02,1.152e+03,3.434e+03
7.5,2.165e+03,1.114e+02,1.861e+03,4.137e+03
9.0,2.124e+03,9.714e+01,2.628e+03,4.849e+03
10.5,1.866e+03,8.788e+01,3.492e+03,5.446e+03
12.0,2.007e+03,9.180e+01,4.686e+03,6.785e+03
13.5,2.222e+03,1.142e+02,6.156e+03,8.493e+03
15.0,2.440e+03,1.151e+02,7.781e+03,1.034e+04
16.5,2.857e+03,1.255e+02,8.736e+03,1.172e+04
18.1,2.406e+03,1.227e+02,9.524e+03,1.205e+04
19.6,2.263e+03,1.182e+02,1.189e+04,1.427e+04
21.1,2.567e+03,1.231e+02,1.476e+04,1.745e+04
22.6,2.712e+03,1.454e+02,1.791e+04,2.076e+04
24.1,2.526e+03,1.281e+02,2.205e+04,2.470e+04
25.6,2.492e+03,1.417e+02,2.667e+04,2.931e+04
27.1,2.517e+03,1.658e+02,2.723e+04,2.992e+04
28.6,2.657e+03,1.522e+02,2.886e+04,3.167e+04
30.1,2.830e+03,1.410e+02,3.213e+04,3.510e+04
31.6,3.105e+03,1.423e+02,3.655e+04,3.980e+04
33.1,2.563e+03,1.495e+02,4.403e+04,4.674e+04
34.6,2.625e+03,2.136e+02,5.698e+04,5.981e+04
36.1,2.800e+03,3.043e+02,7.158e+04,7.469e+04
37.6,3.014e+03,4.437e+02,9.177e+04,9.523e+04
39.1,3.478e+03,6.225e+02,1.189e+05,1.230e+05
40.6,3.404e+03,8.322e+02,1.464e+05,1.507e+05
42.1,2.998e+03,1.100e+03,1.778e+05,1.819e+05
43.6,3.014e+03,1.521e+03,2.145e+05,2.190e+05
45.1,2.652e+03,2.256e+03,2.634e+05,2.683e+05
46.6,2.526e+03,3.605e+03,3.282e+05,3.343e+05
48.1,3.037e+03,6.099e+03,4.224e+05,4.316e+05
49.6,4.413e+03,1.059e+04,5.420e+05,5.571e+05
51.1,6.257e+03,1.972e+04,6.757e+05,7.016e+05
52.6,1.324e+04,4.107e+04,8.711e+05,9.255e+05
54.2,3.034e+04,6.335e+04,1.161e+06,1.255e+06
55.7,4.601e+04,6.736e+04,1.581e+06,1.695e+06
57.2,4.893e+04,5.282e+04,2.319e+06,2.421e+06
58.7,4.132e+04,4.695e+04,3.516e+06,3.605e+06
60.2,4.457e+04,6.996e+04,4.863e+06,4.977e+06
61.7,3.841e+04,7.732e+04,5.013e+06,5.129e+06
63.2,3.518e+04,5.494e+04,4.372e+06,4.462e+06
64.7,3.088e+04,3.183e+04,3.420e+06,3.483e+06
66.2,2.443e+04,1.768e+04,2.332e+06,2.374e+06
67.7,2.050e+04,9.816e+03,1.556e+06,1.587e+06
69.2,1.631e+04,5.977e+03,1.051e+06,1.073e+06
70.7,1.350e+04,4.669e+03,7.413e+05,7.595e+05
72.2,1.212e+04,5.169e+03,5.531e+05,5.703e+05
73.7,1.056e+04,5.800e+03,4.040e+05,4.204e+05
75.2,9.527e+03,6.734e+03,3.122e+05,3.284e+05
