freq,psd_x,psd_y,psd_z,psd_xyz
159.7,1.474e+02,3.786e+02,1.695e+03,2.221e+03
161.2,2.159e+02,3.422e+02,1.406e+03,1.964e+03
162.7,2.645e+02,3.383e+02,1.229e+03,1.832e+03
164.2,3.262e+02,4.803e+02,1.640e+03,2.447e+03
165.7,3.590e+02,1.224e+03,1.350e+03,2.933e+03
167.2,4.081e+02,2.167e+03,1.492e+03,4.068e+03
168.7,5.546e+02,2.452e+03,1.391e+03,4.397e+03
170.2,7.196e+02,2.162e+03,1.863e+03,4.744e+03
171.7,8.299e+02,1.216e+03,1.795e+03,3.841e+03
173.2,6.846e+02,8.182e+02,2.049e+03,3.552e+03
174.7,4.976e+02,8.624e+02,1.842e+03,3.202e+03
176.2,3.835e+02,9.681e+02,2.082e+03,3.434e+03
177.7,3.714e+02,1.584e+03,2.025e+03,3.980e+03
179.2,8.007e+02,2.667e+03,2.297e+03,5.765e+03
180.6,1.232e+03,3.003e+03,2.562e+03,6.797e+03
182.1,1.071e+03,2.521e+03,2.046e+03,5.637e+03
183.6,6.929e+02,1.709e+03,1.945e+03,4.347e+03
185.1,5.261e+02,1.031e+03,2.008e+03,3.565e+03
186.6,5.417e+02,1.055e+03,1.783e+03,3.379e+03
188.1,6.102e+02,9.987e+02,2.483e+03,4.092e+03
189.6,5.894e+02,7.883e+02,3.177e+03,4.555e+03
191.1,4.481e+02,5.943e+02,3.202e+03,4.244e+03
192.6,4.260e+02,6.462e+02,2.924e+03,3.996e+03
194.1,4.771e+02,1.032e+03,2.004e+03,3.514e+03
195.6,5.050e+02,1.191e+03,2.069e+03,3.765e+03
197.1,6.256e+02,9.803e+02,1.845e+03,3.451e+03
198.6,5.706e+02,8.073e+02,1.680e+03,3.058e+03
