freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.911e+01,3.680e+02,3.129e+01,4.484e+02
1.5,4.924e+01,2.258e+02,5.835e+01,3.334e+02
3.0,3.339e+01,3.153e+01,5.214e+01,1.171e+02
4.5,3.729e+01,2.639e+02,5.086e+01,3.521e+02
6.0,3.337e+01,1.078e+03,4.542e+01,1.157e+03
7.5,2.967e+01,1.815e+03,4.337e+01,1.888e+03
9.0,2.807e+01,2.625e+03,3.926e+01,2.692e+03
10.5,2.760e+01,3.600e+03,3.953e+01,3.667e+03
12.0,2.895e+01,5.034e+03,4.118e+01,5.104e+03
13.5,3.226e+01,7.447e+03,4.633e+01,7.526e+03
14.9,3.266e+01,1.062e+04,5.286e+01,1.070e+04
16.4,3.487e+01,1.435e+04,5.780e+01,1.445e+04
17.9,3.710e+01,1.827e+04,9.193e+01,1.840e+04
19.4,4.196e+01,2.189e+04,1.512e+02,2.209e+04
20.9,4.473e+01,2.457e+04,2.431e+02,2.486e+04
22.4,4.961e+01,2.550e+04,3.471e+02,2.590e+04
23.9,5.424e+01,2.652e+04,4.142e+02,2.698e+04
25.4,7.548e+01,3.059e+04,4.850e+02,3.115e+04
26.9,1.162e+02,3.816e+04,5.704e+02,3.885e+04
28.4,1.707e+02,4.909e+04,7.714e+02,5.003e+04
29.9,2.120e+02,5.705e+04,1.077e+03,5.834e+04
31.4,2.696e+02,6.551e+04,1.405e+03,6.719e+04
32.9,3.870e+02,8.303e+04,1.835e+03,8.526e+04
34.4,4.692e+02,1.047e+05,2.494e+03,1.076e+05
35.9,7.125e+02,1.337e+05,3.344e+03,1.378e+05
37.4,1.353e+03,1.804e+05,4.242e+03,1.860e+05
38.9,2.583e+03,2.585e+05,5.848e+03,2.670e+05
40.4,4.559e+03,3.664e+05,7.833e+03,3.788e+05
41.9,8.203e+03,5.100e+05,1.016e+04,5.284e+05
43.4,1.679e+04,7.571e+05,1.338e+04,7.873e+05
44.8,4.561e+04,1.027e+06,1.673e+04,1.089e+06
46.3,8.223e+04,1.021e+06,1.999e+04,1.123e+06
47.8,1.111e+05,9.328e+05,2.088e+04,1.065e+06
49.3,1.255e+05,7.729e+05,2.259e+04,9.210e+05
50.8,1.216e+05,5.819e+05,2.536e+04,7.288e+05
52.3,1.158e+05,4.640e+05,2.508e+04,6.050e+05
53.8,1.167e+05,3.621e+05,1.903e+04,4.979e+05
55.3,1.202e+05,2.838e+05,1.479e+04,4.187e+05
56.8,1.234e+05,2.378e+05,1.312e+04,3.743e+05
58.3,1.216e+05,1.924e+05,1.512e+04,3.291e+05
59.8,1.065e+05,1.414e+05,1.788e+04,2.658e+05
61.3,8.578e+04,1.007e+05,1.660e+04,2.031e+05
62.8,6.819e+04,7.058e+04,1.509e+04,1.539e+05
64.3,5.158e+04,4.610e+04,1.806e+04,1.157e+05
65.8,3.746e+04,3.099e+04,1.737e+04,8.582e+04
67.3,2.758e+04,2.399e+04,1.576e+04,6.733e+04
68.8,2.152e+04,2.135e+04,1.282e+04,5.569e+04
70.3,1.794e+04,2.168e+04,6.729e+03,4.635e+04
71.8,1.604e+04,2.409e+04,6.292e+03,4.642e+04
73.3,1.394e+04,2.311e+04,6.059e+03,4.310e+04
74.7,1.219e+04,2.121e+04,6.188e+03,3.959e+04
76.2,1.075e+04,1.840e+04,6.050e+03,3.519e+04
77.7,1.022e+04,1.770e+04,6.661e+03,3.458e+04
79.2,1.161e+04,2.194e+04,8.277e+03,4.182e+04
80.7,1.538e+04,3.679e+04,1.131e+04,6.348e+04
82.2,1.753e+04,5.197e+04,1.452e+04,8.402e+04
83.7,1.709e+04,5.353e+04,1.581e+04,8.643e+04
85.2,1.818e+04,5.675e+04,1.678e+04,9.171e+04
86.7,1.798e+04,5.913e+04,1.924e+04,9.634e+04
88.2,1.897e+04,6.194e+04,2.309e+04,1.040e+05
89.7,2.289e+04,6.653e+04,2.780e+04,1.172e+05
91.2,3.158e+04,7.428e+04,3.404e+04,1.399e+05
92.7,3.605e+04,8.139e+04,4.120e+04,1.586e+05
94.2,3.551e+04,8.565e+04,4.813e+04,1.693e+05
95.7,3.039e+04,7.571e+04,4.881e+04,1.549e+05
97.2,2.248e+04,5.460e+04,3.624e+04,1.133e+05
98.7,2.026e+04,5.114e+04,3.484e+04,1.062e+05
100.2,1.818e+04,4.846e+04,4.087e+04,1.075e+05
101.7,1.544e+04,4.116e+04,4.507e+04,1.017e+05
103.2,1.450e+04,4.153e+04,4.985e+04,1.059e+05
104.6,1.519e+04,4.564e+04,5.418e+04,1.150e+05
106.1,1.708e+04,4.843e+04,5.887e+04,1.244e+05
107.6,1.874e+04,4.858e+04,7.336e+04,1.407e+05
109.1,1.998e+04,4.825e+04,9.610e+04,1.643e+05
110.6,1.903e+04,4.719e+04,1.061e+05,1.723e+05
112.1,1.877e+04,4.745e+04,1.058e+05,1.721e+05
113.6,2.009e+04,4.947e+04,1.152e+05,1.847e+05
115.1,1.384e+04,3.108e+04,8.953e+04,1.345e+05
116.6,4.942e+03,8.310e+03,2.740e+04,4.066e+04
118.1,4.115e+03,6.355e+03,1.810e+04,2.857e+04
119.6,5.323e+03,1.203e+04,2.030e+04,3.765e+04
121.1,6.052e+03,2.198e+04,2.800e+04,5.602e+04
122.6,5.347e+03,2.891e+04,3.506e+04,6.932e+04
124.1,4.599e+03,3.260e+04,3.833e+04,7.553e+04
125.6,4.027e+03,3.310e+04,3.676e+04,7.388e+04
127.1,4.122e+03,3.105e+04,3.348e+04,6.866e+04
128.6,4.817e+03,3.013e+04,3.363e+04,6.857e+04
130.1,5.522e+03,2.736e+04,3.513e+04,6.802e+04
131.6,4.087e+03,2.160e+04,3.038e+04,5.607e+04
133.1,3.633e+03,1.162e+04,2.852e+04,4.377e+04
134.5,2.978e+03,3.713e+03,2.417e+04,3.086e+04
136.0,1.506e+03,4.116e+03,1.413e+04,1.976e+04
137.5,7.912e+02,6.350e+03,8.393e+03,1.553e+04
139.0,5.092e+02,9.018e+03,4.675e+03,1.420e+04
140.5,5.139e+02,9.309e+03,4.432e+03,1.426e+04
142.0,9.320e+02,7.522e+03,7.789e+03,1.624e+04
143.5,1.427e+03,6.942e+03,1.094e+04,1.931e+04
145.0,1.851e+03,6.745e+03,1.297e+04,2.156e+04
146.5,1.691e+03,5.960e+03,1.164e+04,1.929e+04
148.0,1.067e+03,4.937e+03,7.433e+03,1.344e+04
149.5,7.659e+02,3.884e+03,5.461e+03,1.011e+04
151.0,7.165e+02,3.234e+03,5.499e+03,9.450e+03
152.5,8.381e+02,2.965e+03,6.738e+03,1.054e+04
154.0,8.923e+02,2.354e+03,6.952e+03,1.020e+04
