freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.774e+02,3.565e+01,1.122e+03,1.335e+03
1.5,9.446e+02,6.726e+01,8.128e+02,1.825e+03
3.0,1.146e+03,6.228e+01,1.824e+02,1.391e+03
4.5,1.116e+03,7.348e+01,3.915e+02,1.581e+03
6.0,1.154e+03,7.840e+01,1.225e+03,2.457e+03
7.5,1.456e+03,7.828e+01,1.995e+03,3.529e+03
9.0,1.324e+03,7.980e+01,2.806e+03,4.210e+03
10.5,1.101e+03,6.889e+01,3.942e+03,5.112e+03
12.0,1.202e+03,6.836e+01,5.342e+03,6.612e+03
13.5,1.277e+03,7.067e+01,6.971e+03,8.318e+03
15.0,1.220e+03,6.764e+01,8.908e+03,1.020e+04
16.5,1.301e+03,6.410e+01,1.048e+04,1.185e+04
18.0,1.344e+03,6.806e+01,1.096e+04,1.237e+04
19.4,1.355e+03,7.425e+01,1.256e+04,1.399e+04
20.9,1.242e+03,7.024e+01,1.595e+04,1.727e+04
22.4,1.233e+03,8.137e+01,2.054e+04,2.185e+04
23.9,1.376e+03,9.413e+01,2.619e+04,2.766e+04
25.4,1.376e+03,9.862e+01,3.182e+04,3.330e+04
26.9,1.324e+03,1.026e+02,3.262e+04,3.404e+04
28.4,1.564e+03,1.183e+02,3.689e+04,3.857e+04
29.9,1.988e+03,1.412e+02,4.407e+04,4.620e+04
31.4,1.898e+03,1.902e+02,5.230e+04,5.439e+04
32.9,1.850e+03,2.120e+02,6.187e+04,6.394e+04
34.4,1.841e+03,2.789e+02,7.477e+04,7.689e+04
35.9,1.701e+03,3.956e+02,9.294e+04,9.503e+04
37.4,2.078e+03,4.519e+02,1.104e+05,1.129e+05
38.9,2.202e+03,5.295e+02,1.291e+05,1.318e+05
40.4,2.024e+03,6.735e+02,1.645e+05,1.672e+05
41.9,1.961e+03,8.237e+02,2.144e+05,2.171e+05
43.4,1.976e+03,9.630e+02,2.759e+05,2.788e+05
44.9,2.156e+03,1.133e+03,3.390e+05,3.423e+05
46.4,2.342e+03,1.637e+03,4.129e+05,4.169e+05
47.9,2.466e+03,2.622e+03,5.221e+05,5.272e+05
49.4,2.610e+03,4.329e+03,6.769e+05,6.838e+05
50.9,2.820e+03,7.211e+03,8.704e+05,8.804e+05
52.4,4.133e+03,1.346e+04,1.105e+06,1.123e+06
53.9,7.032e+03,2.655e+04,1.511e+06,1.545e+06
55.4,1.138e+04,4.765e+04,2.234e+06,2.293e+06
56.9,2.074e+04,7.023e+04,3.359e+06,3.450e+06
58.3,2.751e+04,9.146e+04,4.702e+06,4.821e+06
59.8,3.192e+04,1.275e+05,5.746e+06,5.905e+06
61.3,2.570e+04,1.187e+05,5.450e+06,5.594e+06
62.8,2.513e+04,8.082e+04,4.429e+06,4.535e+06
64.3,1.731e+04,4.047e+04,3.084e+06,3.142e+06
65.8,1.205e+04,2.389e+04,2.085e+06,2.121e+06
67.3,9.967e+03,1.956e+04,1.447e+06,1.476e+06
68.8,9.388e+03,1.702e+04,1.066e+06,1.092e+06
70.3,8.679e+03,1.508e+04,8.221e+05,8.458e+05
71.8,7.814e+03,1.394e+04,6.715e+05,6.933e+05
73.3,7.723e+03,1.080e+04,5.748e+05,5.934e+05
74.8,8.380e+03,1.032e+04,4.925e+05,5.112e+05
76.3,8.970e+03,1.171e+04,4.201e+05,4.408e+05
77.8,1.000e+04,1.327e+04,3.741e+05,3.974e+05
79.3,1.064e+04,1.533e+04,3.394e+05,3.654e+05
80.8,1.182e+04,1.837e+04,3.068e+05,3.369e+05
82.3,1.300e+04,1.989e+04,2.803e+05,3.132e+05
83.8,1.455e+04,2.018e+04,2.580e+05,2.927e+05
85.3,1.535e+04,2.107e+04,2.356e+05,2.720e+05
86.8,1.590e+04,2.298e+04,2.090e+05,2.478e+05
88.3,1.664e+04,2.394e+04,1.861e+05,2.267e+05
89.8,1.804e+04,2.633e+04,1.665e+05,2.109e+05
91.3,1.971e+04,3.102e+04,1.558e+05,2.066e+05
92.8,2.127e+04,3.637e+04,1.420e+05,1.997e+05
94.3,2.197e+04,3.898e+04,1.287e+05,1.897e+05
95.7,1.802e+04,2.934e+04,1.255e+05,1.728e+05
97.2,2.307e+04,3.403e+04,1.704e+05,2.275e+05
98.7,2.673e+04,3.858e+04,1.888e+05,2.541e+05
100.2,2.633e+04,3.608e+04,1.863e+05,2.487e+05
101.7,2.985e+04,4.174e+04,2.050e+05,2.766e+05
103.2,3.135e+04,4.454e+04,2.475e+05,3.234e+05
104.7,2.820e+04,3.824e+04,2.647e+05,3.311e+05
106.2,2.486e+04,3.180e+04,2.761e+05,3.327e+05
107.7,2.058e+04,2.148e+04,2.863e+05,3.283e+05
109.2,1.729e+04,1.373e+04,2.934e+05,3.244e+05
110.7,1.820e+04,1.155e+04,3.241e+05,3.538e+05
112.2,2.424e+04,1.411e+04,3.806e+05,4.189e+05
113.7,3.545e+04,1.987e+04,4.586e+05,5.140e+05
115.2,4.240e+04,2.603e+04,4.760e+05,5.445e+05
116.7,4.681e+04,3.222e+04,4.522e+05,5.312e+05
118.2,4.769e+04,3.741e+04,4.066e+05,4.917e+05
119.7,5.089e+04,3.460e+04,4.561e+05,5.416e+05
121.2,5.730e+04,3.171e+04,5.624e+05,6.514e+05
122.7,6.106e+04,3.348e+04,6.218e+05,7.163e+05
124.2,6.731e+04,3.717e+04,6.715e+05,7.760e+05
125.7,7.163e+04,3.819e+04,6.820e+05,7.918e+05
127.2,7.409e+04,3.541e+04,6.634e+05,7.729e+05
128.7,7.637e+04,3.106e+04,6.594e+05,7.668e+05
130.2,7.742e+04,2.704e+04,6.602e+05,7.647e+05
131.7,5.661e+04,1.701e+04,4.502e+05,5.239e+05
133.1,2.644e+04,1.070e+04,1.846e+05,2.217e+05
134.6,1.096e+04,7.938e+03,7.355e+04,9.244e+04
136.1,1.143e+04,8.481e+03,7.354e+04,9.345e+04
137.6,1.314e+04,9.193e+03,7.711e+04,9.944e+04
139.1,1.420e+04,8.827e+03,8.445e+04,1.075e+05
140.6,1.722e+04,9.359e+03,9.860e+04,1.252e+05
142.1,1.899e+04,9.812e+03,1.090e+05,1.377e+05
143.6,2.165e+04,1.054e+04,1.272e+05,1.594e+05
145.1,2.557e+04,1.142e+04,1.561e+05,1.931e+05
146.6,2.592e+04,1.054e+04,1.584e+05,1.948e+05
148.1,1.887e+04,6.932e+03,1.162e+05,1.420e+05
149.6,1.076e+04,3.406e+03,7.201e+04,8.618e+04
151.1,9.433e+03,2.774e+03,6.587e+04,7.807e+04
152.6,9.497e+03,2.850e+03,6.897e+04,8.132e+04
154.1,1.069e+04,3.167e+03,7.941e+04,9.326e+04
155.6,1.241e+04,3.691e+03,9.722e+04,1.133e+05
157.1,1.486e+04,4.463e+03,1.196e+05,1.389e+05
158.6,1.829e+04,5.575e+03,1.451e+05,1.690e+05
160.1,2.201e+04,6.790e+03,1.688e+05,1.976e+05
161.6,2.541e+04,8.173e+03,1.976e+05,2.312e+05
163.1,3.007e+04,9.752e+03,2.323e+05,2.721e+05
164.6,3.061e+04,1.076e+04,2.421e+05,2.835e+05
166.1,3.260e+04,1.180e+04,2.529e+05,2.973e+05
